Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
1,Cristhian Adames\adamecr01,25,COL,NL,1,1,0,7,2,1,1,0,0,1,0,-17,0,NA,0,0,0,0,0,0,0,0,2.57,2,2017
2,Ehire Adrianza\adriaeh01,27,MIN,AL,29,23,20,212.1,102,26,74,2,13,0.98,-2,-11,-2,0,-2,-11,0,0,-2,0,-1,0,4.24,3.45,2017
3,Nick Ahmed\ahmedni01,27,ARI,NL,48,41,38,381.2,189,44,140,5,29,0.974,6,19,5,1,6,19,5,1,0,-1,3,3,4.34,3.83,2017
4,Arismendy Alcantara\alcanar01,25,CIN,NL,6,1,0,21.1,11,2,9,0,1,1,1,56,1,0,3,169,2,0,1,0,1,1,4.64,1.83,2017
5,Alexi Amarista\amarial01,28,COL,NL,18,11,7,106.1,41,7,30,4,6,0.902,-1,-15,0,-1,-1,-11,-1,0,0,0,0,-1,3.13,2.06,2017
6,Tim Anderson\anderti01,24,CHW,AL,145,145,143,1264,588,197,363,28,85,0.952,-13,-12,-11,-2,-23,-22,-20,0,-3,1,-17,-3,3.99,3.86,2017
7,Elvis Andrus\andruel01,28,TEX,AL,157,157,145,1365.1,755,245,493,17,107,0.977,26,23,25,1,12,11,12,0,0,-1,5,9,4.86,4.7,2017
8,Orlando Arcia\arciaor01,22,MIL,NL,152,137,130,1240.1,688,253,415,20,103,0.971,18,17,15,3,4,4,2,4,-2,-1,0,3,4.85,4.39,2017
9,Christian Arroyo\arroych01,22,SFG,NL,10,9,9,82.2,32,12,19,1,3,0.969,-1,-7,-1,0,1,15,1,0,0,0,1,0,3.38,3.1,2017
10,Mike Aviles\avilemi01,36,MIA,NL,15,12,5,103,49,14,35,0,8,1,0,-5,0,0,-1,-12,-2,0,1,0,0,-2,4.28,3.27,2017
11,Erick Aybar\aybarer01,33,SDP,NL,99,93,79,793,399,117,273,9,63,0.977,-6,-9,-7,1,-8,-12,-8,1,-1,0,-7,-2,4.43,3.94,2017
12,Javier Baez\baezja01,24,CHC,NL,73,67,53,573.1,267,91,165,11,39,0.959,-4,-8,-4,0,2,4,3,1,-2,0,1,1,4.02,3.51,2017
